СокращенноеНаименование;ПолноеНаименование;Специализация;ПрофильныйПредмет;ФормаОбучения;УровеньПодготовки;ОснованиеПоступления;ОсобенностиПриема;Факультет;КоличествоМест;Зачислено
ЭБ_очн_плат;38.05.01. Экономическая безопасность;Экономико-правовое обеспечение экономической безопасности;Обществознание;Очная;Специалист;Полное возмещение затрат;Общие места;Факультет экономики и управления;40;0
ЭиН мг очн бюдж;11.04.04. Электроника и наноэлектроника;Промышленная электроника;Физика;Очная;Магистр;Бюджетная основа;Общие места;Факультет энергетики и электроники;8;8
ЭиН мг очн платн;11.04.04. Электроника и наноэлектроника;Промышленная электроника;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;7;0
ЭиН(МТЭ)_очн_бюдж;11.03.04. Электроника и наноэлектроника;Микроэлектроника и твердотельная электроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;10;10
ЭиН(МТЭ)_очн_льгот;11.03.04. Электроника и наноэлектроника;Микроэлектроника и твердотельная электроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;0;0
ЭиН(МТЭ)_очн_плат;11.03.04. Электроника и наноэлектроника;Микроэлектроника и твердотельная электроника;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;5;0
ЭиН(ПЭ)_очн_бюдж;11.03.04. Электроника и наноэлектроника;Промышленная электроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;9;9
ЭиН(ПЭ)_очн_льгот;11.03.04. Электроника и наноэлектроника;Промышленная электроника;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;1;1
ЭиН(ПЭ)_очн_плат;11.03.04. Электроника и наноэлектроника;Промышленная электроника;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;5;0
ЭиЭ мг очн бюдж;13.04.02. Электроэнергетика и электротехника;Электрический привод и автоматика механизмов и технологических комплексов;Физика;Очная;Магистр;Бюджетная основа;Общие места;Факультет энергетики и электроники;8;8
ЭиЭ мг очн платн;13.04.02. Электроэнергетика и электротехника;Электрический привод и автоматика механизмов и технологических комплексов;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;7;0
ЭиЭ_заочн_плат;13.03.02. Электроэнергетика и электротехника;Электрооборудование и электрохозяйство предприятий, организаций и учреждений;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;20;0
ЭиЭ_очн_бюдж;13.03.02. Электроэнергетика и электротехника;Электропривод и автоматика;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;15;15
ЭиЭ_очн_льгот;13.03.02. Электроэнергетика и электротехника;Электропривод и автоматика;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;0;0
ЭиЭ_очн_плат;13.03.02. Электроэнергетика и электротехника;Электропривод и автоматика;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;9;0
ЭиЭ_очн_целевое;13.03.02. Электроэнергетика и электротехника;Электропривод и автоматика;Физика;Очная;Академический бакалавр;Целевой прием;Целевые места;Факультет энергетики и электроники;1;1
ЭК мг веч платн;38.04.01. Экономика;Экономика предприятий и организаций;Обществознание;Очно-заочная;Магистр;Полное возмещение затрат;Общие места;Факультет экономики и управления;15;0
ЭК мг очн платн;38.04.01. Экономика;Экономика предприятий и организаций;Обществознание;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет экономики и управления;10;0
ЭК(БУА)_заоч_плат;38.03.01. Экономика;Бухгалтерский учёт, анализ и аудит;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;60;0
ЭК(БУА)_очн_плат;38.03.01. Экономика;Бухгалтерский учёт, анализ и аудит;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ЭК(ЛОГ)_очн_плат;38.03.01. Экономика;Логистика и управление цепями поставок;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ЭК(ОЦ)_очн_плат;38.03.01. Экономика;Оценка стоимости имущества и бизнеса;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ЭК(Ф)_заоч_плат;38.03.01. Экономика;Финансы;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;50;0
ЭК(Ф)_очн_плат;38.03.01. Экономика;Финансы;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ЭК(ЭПО)_очн_плат;38.03.01. Экономика;Экономика предприятий и организаций;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ЭМ(ДВС) мг очн бюдж;13.04.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Очная;Магистр;Бюджетная основа;Общие места;Факультет энергетики и электроники;6;6
ЭМ(ДВС) мг очн платн;13.04.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;6;0
ЭМ(ДВС)_заочн_бюдж;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;19;0
ЭМ(ДВС)_заочн_льгот;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;1;0
ЭМ(ДВС)_заочн_плат;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;10;0
ЭМ(ДВС)_очн_бюдж;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;24;24
ЭМ(ДВС)_очн_льгот;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;1;1
ЭМ(ДВС)_очн_плат;13.03.03. Энергетическое машиностроение;Двигатели внутреннего сгорания;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;5;0
ЭМ(Т) мг очн бюдж;13.04.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Магистр;Бюджетная основа;Общие места;Факультет энергетики и электроники;8;8
ЭМ(Т) мг очн платн;13.04.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;5;0
ЭМ(Т)_очн_бюдж;13.03.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;26;26
ЭМ(Т)_очн_льгот;13.03.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет энергетики и электроники;0;0
ЭМ(Т)_очн_плат;13.03.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;3;0
ЭМ(Т)_очн_целевое;13.03.03. Энергетическое машиностроение;Паро- и газотурбинные установки и двигатели;Физика;Очная;Академический бакалавр;Целевой прием;Общие места;Факультет энергетики и электроники;1;1
ЭМ(ЭМКС)_заочн_плат;13.03.03. Энергетическое машиностроение;Энергетические машины компрессорных станций;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет энергетики и электроники;10;0
ЭТТК(АиАХ)_очн_бюдж;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Автомобили и автомобильное хозяйство;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;18;18
ЭТТК(АиАХ)_очн_льгот;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Автомобили и автомобильное хозяйство;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;0;0
ЭТТК(АиАХ)_очн_плат;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Автомобили и автомобильное хозяйство;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;3;0
ЭТТК(АиАХ)_очн_целевое;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Автомобили и автомобильное хозяйство;Физика;Очная;Академический бакалавр;Целевой прием;Общие места;Учебно-научный институт транспорта;2;2
ЭТТК(ПСЖД)_очн_бюдж;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Подвижной состав железных дорог;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;14;14
ЭТТК(ПСЖД)_очн_льгот;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Подвижной состав железных дорог;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный институт транспорта;0;0
ЭТТК(ПСЖД)_очн_плат;23.03.03. Эксплуатация транспортно-технологических машин и комплексов;Подвижной состав железных дорог;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный институт транспорта;3;0
ИиВТ(УСиЭС) асп заочн;09.06.01 Информатика и вычислительная техника;Управление в социальных и экономических системах;Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;8;0
ИиВТ(МатМод) асп очн;09.06.01 Информатика и вычислительная техника;Математическое моделирование, численные методы и комплексы;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
ИиВТ(УСиЭС) асп очн;09.06.01 Информатика и вычислительная техника;Управление в социальных и экономических системах;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
ИБ асп очн;10.06.01 Информационная безопасность;Методы и системы защиты информации, информационная безопасность;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;1;0
ЭиТ(Турб) асп очн;13.06.01 Электро- и теплотехника;Турбомашины и комбинированные турбоустановки;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;6;0
ЭиТ(ЭКиС) асп заочн;13.06.01 Электро- и теплотехника;Электротехнические комплексы и системы;Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;4;0
ТМ(Мат) асп очн;22.06.01 Технологии материалов;Материаловедение (машиностроение);Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;4;0
ЭК(ЭУП) асп заочн;38.06.01 Экономика;Экономика и управление народным хозяйством (по отраслям и видам деятельности);Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;13;0
ТБ асп заочн;20.06.01 Техносферная безопасность;Охрана труда (в машиностроении);Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
МАШ(СиУК) асп заочн;15.06.01 Машиностроение;Стандартизация и управление качеством продукции;Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
МАШ(ДСиПТМ) асп заочн;15.06.01 Машиностроение;Дорожные, строительные и подъемно-транспортные машины;Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
МАШ(ТМ) асп очн;15.06.01 Машиностроение;Технология машиностроения;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;10;0
ФЭиР асп очн;47.06.01 Философия, этика и религиоведение;Социальная философия;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;3;0
ТиТ(ПСЖД) асп заочн;23.06.01 Техника и технологии наземного транспорта;Подвижной состав железных дорог, тяга поездов и электрификация;Спецдисциплина;Заочная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
ТиТ(ПСЖД) асп очн;23.06.01 Техника и технологии наземного транспорта;Подвижной состав железных дорог, тяга поездов и электрификация;Спецдисциплина;Очная;Исследователь. Преподаватель-исследователь.;Полное возмещение затрат;Общие места;Отдел аспирантуры и докторантуры;2;0
